,SIM,display_size,screen_to_body_ratio,OS
877,Dual,['5.0'],['67.6'],Android
878,Dual,['5.5'],['70.8'],Android
879,Dual,['6.0'],['75.5'],Android
880,Dual,['5.0'],['68.9'],Android
881,Dual,['5.0'],['66.8'],Android
882,Dual,['5.5'],['73.6'],Android
883,Dual,['5.0'],['68.6'],Android
884,Dual,['6.0'],['73.5'],Android
885,Dual,['5.0'],['66.9'],Android
886,Dual,['5.5'],['72.2'],Android
887,Dual,['4.5'],['61.3'],Android
888,Dual,['5.2'],['69.2'],Android
889,Dual,['5.0'],['66.7'],Android
890,Single,['4.8'],['67.4'],Android
891,Dual,['5.0'],['64.9'],Android
892,Dual,['4.5'],['62.2'],Android
893,Dual,['4.7'],['66.9'],Android
894,Single,['5.0'],['67.7'],Android
895,Dual,['4.7'],['65.8'],Android
896,Single,['5.5'],['73.8'],Android
897,Single,['5.0'],['69.7'],Android
898,Single,['4.8'],['67.2'],Android
899,Dual,['4.7'],['65.4'],Android
900,Dual,['5.0'],['66.4'],Android
901,Dual,['5.7'],['67.4'],Android
902,Dual,['5.5'],['66.5'],Android
903,Dual,['5.3'],['73.2'],Android
904,Dual,['5.0'],['63.8'],Android
905,Dual,['4.3'],['59.9'],Android
906,Dual,['4.0'],['56.1'],Android
907,Dual,['3.5'],['52.5'],Android
908,Dual,['3.95'],['59.5'],Android
909,Dual,['3.5'],['52.0'],Android
910,Dual,['4.3'],['60.4'],Android
911,Dual,['4.5'],['61.2'],Android
912,Dual,['4.65'],['68.4'],Android
913,Single,['5.5'],['71.2'],Android
914,Single,['5.0'],['69.0'],Android
915,No,['10.2'],['72.4'],Android
916,Dual,['5.96'],['72.2'],Windows
917,No,['17.3'],['69.7'],Android
918,Single,['12.3'],['70.3'],Android
919,No,['10.1'],['58.0'],Android
920,Single,['7.86'],['67.5'],Android
921,Dual,['6.0'],['72.2'],Android
922,Single,['6.95'],['69.2'],Android
923,No,['7.0'],['58.8'],Android
924,No,['7.85'],['69.9'],Android
925,Dual,['7.0'],['74.5'],Android
926,Dual,['7.0'],[],Android
927,Dual,['6.0'],['72.3'],Android
928,No,['8.0'],['63.7'],Android
929,No,['10.0'],['62.9'],Android
930,No,['7.0'],['59.2'],Android
931,No,['7.0'],['59.5'],Android
932,No,['7.0'],['60.3'],Android
933,Single,['2.6'],['46.5'],Other
934,Single,['2.6'],['46.5'],Other
935,Single,['3.58'],['51.4'],Other
936,No,['9.7'],['63.9'],Other
937,Single,['2.5'],['27.3'],Windows
938,Single,['2.4'],['31.3'],Windows
939,Single,['2.81'],['37.6'],Windows
940,Single,['2.46'],['25.9'],Windows
941,Single,['2.8'],['34.4'],Windows
942,Single,['2.0'],['24.2'],Windows
943,Single,['2.7'],['38.2'],Windows
944,Single,['2.7'],['38.2'],Windows
945,Single,['2.7'],['38.2'],Windows
946,Single,[],[],Windows
947,Single,[],[],Windows
948,Single,['3.0'],['34.7'],Windows
949,Single,['3.0'],['34.7'],Windows
950,Single,['3.5'],['37.0'],Windows
951,Single,['3.5'],['37.0'],Windows
952,Dual,['5.5'],['71.4'],Android
953,Dual,['5.5'],['72.1'],Android
954,Dual,['5.7'],['69.7'],Android
955,Dual,['5.2'],['68.7'],Android
956,Single,['5.5'],['70.2'],Android
957,Dual,['5.0'],['66.2'],Android
958,Dual,['5.5'],['70.5'],Android
959,Dual,['5.5'],['69.1'],Android
960,Single,['5.0'],['65.8'],Android
961,Dual,['5.5'],['67.9'],Android
962,Dual,['5.0'],['66.2'],Android
963,Single,['5.0'],['68.4'],Android
964,Dual,['5.5'],['67.1'],Android
965,Single,['5.0'],['68.4'],Android
966,Single,['5.2'],['71.1'],Android
