,GPS,NFC,audio_jack,battery,radio
748,Yes,,Yes,2000.0,Yes
749,Yes,,Yes,3000.0,No
750,No,,Yes,1000.0,Yes
751,No,,Yes,1800.0,Yes
752,Yes,,Yes,1400.0,Yes
753,Yes,,Yes,1500.0,Yes
754,Yes,,Yes,1400.0,Yes
755,Yes,,Yes,1500.0,Yes
756,Yes,,Yes,1400.0,Yes
757,No,,,1000.0,Yes
758,No,,Yes,1000.0,Yes
759,No,,Yes,1000.0,Yes
760,No,,Yes,1000.0,Yes
761,No,,No,800.0,Yes
762,No,,Yes,1300.0,Yes
763,No,,,2000.0,Yes
764,No,,,1500.0,Yes
765,No,,Yes,1500.0,Yes
766,No,,Yes,1000.0,Yes
767,No,,Yes,1000.0,Yes
768,No,,Yes,800.0,Yes
769,No,,No,1300.0,Yes
770,No,,Yes,1050.0,Yes
771,No,,No,1200.0,Yes
772,No,,,1000.0,Yes
773,No,,,,Yes
774,No,,,1500.0,Yes
775,No,,,1000.0,Yes
776,Yes,,Yes,2500.0,Yes
777,Yes,,Yes,4060.0,No
778,Yes,,Yes,2500.0,Yes
779,Yes,,Yes,4070.0,Yes
780,Yes,,Yes,3050.0,Yes
781,Yes,,Yes,4010.0,Yes
782,Yes,,Yes,2500.0,Yes
783,Yes,,Yes,2500.0,Yes
784,Yes,,Yes,2500.0,Yes
785,Yes,,Yes,3000.0,Yes
786,Yes,,Yes,2800.0,Yes
787,Yes,,Yes,2000.0,Yes
788,Yes,,Yes,1800.0,Yes
789,Yes,,Yes,2500.0,Yes
790,Yes,,Yes,3000.0,Yes
791,Yes,,Yes,2500.0,Yes
792,Yes,,Yes,2500.0,Yes
793,Yes,,Yes,1800.0,Yes
794,Yes,,Yes,7000.0,No
795,Yes,,Yes,5676.0,No
796,Yes,,Yes,4100.0,No
797,Yes,,Yes,4100.0,No
798,Yes,,Yes,7568.0,No
799,Yes,,Yes,1520.0,Yes
800,Yes,,Yes,,No
801,Yes,,Yes,2780.0,No
802,Yes,,Yes,2780.0,No
803,Yes,,Yes,1400.0,Yes
804,Yes,,Yes,1250.0,Yes
805,Yes,,Yes,1100.0,Yes
806,Yes,,Yes,1400.0,Yes
807,Yes,,Yes,1530.0,No
808,Yes,,No,1000.0,No
809,Yes,,No,1000.0,No
810,Yes,,No,1000.0,No
811,Yes,,No,,No
812,Yes,,No,1530.0,Yes
813,Yes,,No,,No
814,Yes,,No,,No
815,Yes,,No,1530.0,Yes
816,Yes,,No,1530.0,Yes
817,Yes,,No,1530.0,Yes
818,Yes,,No,1530.0,Yes
819,Yes,,No,1530.0,Yes
820,Yes,,No,1530.0,Yes
821,Yes,,No,1530.0,Yes
822,Yes,,No,1530.0,Yes
823,No,,No,1440.0,No
824,No,,No,1440.0,No
825,Yes,,No,1440.0,No
826,No,,No,1440.0,No
827,Yes,,Yes,1500.0,No
828,Yes,,Yes,1500.0,No
829,Yes,,No,1100.0,No
830,Yes,,No,920.0,No
831,Yes,,Yes,1300.0,Yes
832,Yes,,Yes,2100.0,Yes
833,Yes,,Yes,1600.0,Yes
834,Yes,,Yes,2000.0,Yes
835,Yes,,Yes,2000.0,Yes
836,Yes,,Yes,1400.0,Yes
837,Yes,,Yes,2500.0,Yes
838,Yes,,Yes,1400.0,Yes
839,Yes,,Yes,2000.0,Yes
840,Yes,,Yes,1700.0,Yes
841,Yes,,Yes,2000.0,Yes
842,Yes,,Yes,1900.0,Yes
843,Yes,,Yes,1700.0,Yes
844,Yes,,Yes,1500.0,No
845,Yes,,Yes,1500.0,No
846,Yes,,Yes,1550.0,No
847,Yes,,Yes,1500.0,No
848,Yes,,Yes,1260.0,Yes
849,Yes,,Yes,1260.0,Yes
850,Yes,,Yes,1320.0,Yes
851,Yes,,Yes,1230.0,
852,Yes,,No,1300.0,Yes
853,Yes,,No,1300.0,Yes
854,No,,No,920.0,Yes
855,Yes,,No,920.0,No
856,No,,No,840.0,Yes
857,No,,No,920.0,Yes
858,No,,No,920.0,Yes
859,Yes,,Yes,4000.0,Yes
860,Yes,,Yes,3450.0,
861,Yes,,Yes,3700.0,
862,Yes,,Yes,3100.0,
863,Yes,,Yes,6020.0,Yes
864,Yes,,Yes,4550.0,Yes
865,Yes,,Yes,4010.0,Yes
866,Yes,,Yes,4000.0,Yes
867,Yes,,No,7000.0,Yes
868,Yes,,Yes,4000.0,Yes
869,Yes,,Yes,2300.0,Yes
870,Yes,,Yes,3000.0,Yes
871,Yes,,Yes,3100.0,Yes
872,Yes,,Yes,3150.0,Yes
873,Yes,,Yes,3130.0,Yes
874,Yes,,Yes,1800.0,Yes
875,Yes,,Yes,2530.0,Yes
876,Yes,,Yes,3000.0,Yes
877,Yes,,Yes,4000.0,Yes
878,Yes,,Yes,5000.0,Yes
879,Yes,,Yes,5020.0,Yes
880,Yes,,Yes,4000.0,Yes
881,Yes,,Yes,2000.0,Yes
882,Yes,,Yes,3150.0,Yes
883,Yes,,Yes,2400.0,Yes
884,Yes,Yes,Yes,3500.0,Yes
885,Yes,,Yes,5000.0,Yes
886,Yes,,Yes,6020.0,Yes
887,Yes,,Yes,1800.0,Yes
888,Yes,,Yes,2700.0,Yes
889,Yes,,Yes,5000.0,Yes
890,Yes,,Yes,2050.0,Yes
891,Yes,,Yes,1950.0,Yes
892,Yes,,Yes,1800.0,Yes
893,Yes,,Yes,1800.0,Yes
894,Yes,,Yes,2300.0,Yes
895,Yes,Yes,Yes,2200.0,Yes
896,Yes,Yes,Yes,2500.0,Yes
897,Yes,,Yes,2000.0,Yes
898,Yes,,Yes,2000.0,Yes
899,Yes,,Yes,1800.0,Yes
900,Yes,,Yes,4200.0,Yes
901,Yes,,Yes,3200.0,Yes
902,Yes,,Yes,2250.0,Yes
903,Yes,,Yes,3000.0,Yes
904,Yes,,Yes,2100.0,Yes
905,Yes,,Yes,1700.0,Yes
906,Yes,,Yes,1700.0,Yes
907,No,,Yes,1500.0,Yes
908,Yes,,Yes,1700.0,Yes
909,Yes,,Yes,1500.0,Yes
910,Yes,,Yes,1800.0,Yes
911,Yes,,Yes,1800.0,Yes
912,Yes,,Yes,2100.0,Yes
913,Yes,Yes,Yes,3450.0,No
914,Yes,Yes,Yes,2770.0,No
915,,,Yes,9240.0,No
916,Yes,Yes,Yes,4150.0,No
917,No,,Yes,11622.0,No
918,Yes,Yes,Yes,5676.0,No
919,Yes,,Yes,7568.0,No
920,Yes,Yes,Yes,5676.0,No
921,Yes,,Yes,3000.0,
922,Yes,,Yes,,No
923,No,,Yes,2800.0,No
924,No,,Yes,3800.0,No
925,Yes,,Yes,5000.0,No
926,Yes,,Yes,4100.0,
927,Yes,,Yes,3000.0,Yes
928,Yes,,Yes,5680.0,No
929,Yes,,Yes,7000.0,No
930,Yes,,Yes,4100.0,No
931,Yes,,Yes,4000.0,No
932,No,,Yes,,No
933,Yes,,No,910.0,No
934,Yes,,Yes,910.0,No
935,Yes,,Yes,1230.0,No
936,No,,Yes,6300.0,No
937,Yes,,Yes,,No
938,Yes,,No,1260.0,No
939,Yes,,No,1140.0,No
940,Yes,,No,1840.0,No
941,Yes,,No,1590.0,No
942,No,,No,1100.0,No
943,No,,No,1530.0,No
944,No,,No,1530.0,Yes
945,No,,No,1530.0,Yes
946,Yes,,No,1200.0,No
947,Yes,,No,1200.0,No
948,Yes,,No,1200.0,No
949,Yes,,No,1200.0,No
950,No,,No,1800.0,No
951,No,,No,1800.0,No
952,Yes,Yes,No,3000.0,No
953,Yes,,Yes,4000.0,
954,Yes,Yes,No,3000.0,No
955,Yes,Yes,No,2500.0,
956,Yes,Yes,No,3200.0,No
957,Yes,Yes,Yes,2200.0,Yes
958,Yes,Yes,Yes,3000.0,Yes
959,Yes,,Yes,2700.0,Yes
960,Yes,Yes,Yes,2300.0,Yes
961,Yes,,Yes,2800.0,Yes
962,Yes,,Yes,2200.0,Yes
963,Yes,Yes,Yes,2840.0,Yes
964,Yes,Yes,Yes,2800.0,Yes
965,Yes,Yes,Yes,2840.0,Yes
966,Yes,Yes,Yes,3000.0,No
967,Yes,Yes,Yes,3000.0,No
968,Yes,,Yes,2700.0,Yes
969,Yes,,Yes,2200.0,Yes
970,Yes,Yes,Yes,2200.0,Yes
971,Yes,,Yes,2000.0,Yes
972,Yes,Yes,Yes,3000.0,
973,Yes,Yes,Yes,2840.0,Yes
974,Yes,,Yes,2800.0,Yes
975,Yes,,Yes,2800.0,Yes
976,Yes,,Yes,2600.0,Yes
977,Yes,Yes,Yes,2700.0,No
978,Yes,Yes,Yes,2150.0,Yes
979,Yes,Yes,Yes,2840.0,Yes
980,Yes,,Yes,2000.0,Yes
981,Yes,,Yes,2000.0,Yes
982,Yes,Yes,Yes,2840.0,Yes
983,Yes,,Yes,2600.0,Yes
984,Yes,,Yes,2000.0,Yes
985,Yes,Yes,Yes,2840.0,Yes
986,Yes,Yes,Yes,2840.0,Yes
987,Yes,Yes,Yes,2800.0,Yes
988,Yes,Yes,Yes,2800.0,Yes
989,Yes,Yes,Yes,2840.0,Yes
990,Yes,,Yes,2600.0,Yes
991,Yes,,Yes,2000.0,Yes
992,Yes,,Yes,2000.0,Yes
993,Yes,,Yes,2000.0,Yes
994,Yes,,Yes,2600.0,Yes
995,Yes,,Yes,2100.0,Yes
996,Yes,,Yes,2100.0,Yes
997,Yes,,Yes,2100.0,Yes
998,Yes,Yes,Yes,6700.0,No
999,Yes,,Yes,2600.0,Yes
1000,Yes,,Yes,2600.0,Yes
1001,Yes,Yes,Yes,2400.0,Yes
1002,Yes,,Yes,2040.0,
1003,Yes,,Yes,2600.0,Yes
1004,Yes,Yes,Yes,2600.0,Yes
1005,Yes,Yes,Yes,2600.0,Yes
1006,Yes,Yes,Yes,2600.0,
1007,Yes,Yes,Yes,2100.0,Yes
1008,Yes,Yes,Yes,2600.0,Yes
1009,Yes,Yes,Yes,2600.0,Yes
1010,Yes,Yes,Yes,2700.0,Yes
1011,Yes,Yes,Yes,2100.0,No
1012,Yes,Yes,Yes,2600.0,Yes
1013,Yes,,Yes,1950.0,No
1014,Yes,Yes,Yes,2600.0,Yes
1015,Yes,Yes,Yes,2110.0,Yes
1016,Yes,,Yes,2000.0,Yes
1017,Yes,,Yes,1300.0,Yes
1018,Yes,Yes,Yes,2600.0,No
1019,Yes,Yes,Yes,2600.0,Yes
1020,Yes,,Yes,2000.0,No
1021,Yes,,Yes,2000.0,No
1022,Yes,,Yes,2600.0,Yes
1023,Yes,Yes,Yes,2600.0,Yes
1024,Yes,Yes,Yes,2040.0,Yes
1025,Yes,Yes,Yes,2100.0,Yes
1026,Yes,,Yes,2100.0,Yes
1027,Yes,,Yes,2100.0,Yes
1028,Yes,,Yes,2100.0,Yes
1029,Yes,Yes,Yes,2100.0,Yes
1030,Yes,Yes,Yes,3300.0,Yes
1031,Yes,,Yes,1650.0,Yes
1032,Yes,,Yes,2100.0,Yes
1033,Yes,,Yes,1800.0,Yes
1034,Yes,,Yes,1800.0,Yes
1035,Yes,Yes,Yes,1800.0,No
1036,Yes,Yes,Yes,3200.0,Yes
1037,Yes,,Yes,1230.0,No
1038,Yes,Yes,Yes,1860.0,Yes
1039,Yes,Yes,Yes,2000.0,Yes
1040,Yes,Yes,Yes,2300.0,Yes
1041,Yes,Yes,Yes,2300.0,Yes
1042,No,Yes,Yes,1650.0,No
1043,Yes,,Yes,1800.0,No
1044,Yes,Yes,Yes,2020.0,Yes
1045,Yes,Yes,Yes,2020.0,No
1046,Yes,Yes,Yes,1800.0,No
1047,Yes,Yes,Yes,1800.0,Yes
1048,Yes,,Yes,1620.0,Yes
1049,Yes,Yes,Yes,1800.0,Yes
1050,Yes,Yes,Yes,2100.0,Yes
1051,Yes,Yes,Yes,1800.0,No
1052,Yes,Yes,Yes,1800.0,Yes
1053,Yes,,Yes,1700.0,Yes
1054,Yes,,Yes,1800.0,No
1055,Yes,,Yes,1800.0,No
1056,Yes,,Yes,1650.0,Yes
1057,Yes,,Yes,1650.0,Yes
1058,Yes,,Yes,1650.0,No
1059,Yes,,Yes,1650.0,Yes
1060,Yes,,Yes,1650.0,Yes
1061,Yes,Yes,Yes,1230.0,Yes
1062,Yes,,Yes,1810.0,No
1063,Yes,Yes,Yes,1700.0,No
1064,Yes,Yes,Yes,2000.0,Yes
1065,Yes,,Yes,2000.0,Yes
1066,Yes,Yes,Yes,1800.0,Yes
1067,Yes,Yes,Yes,1800.0,No
1068,Yes,Yes,Yes,1800.0,Yes
1069,Yes,,Yes,1650.0,Yes
1070,Yes,,Yes,1650.0,Yes
1071,Yes,,Yes,1620.0,Yes
1072,Yes,,Yes,1500.0,Yes
1073,Yes,,Yes,1620.0,Yes
1074,Yes,,Yes,1730.0,Yes
1075,Yes,,Yes,1620.0,No
1076,Yes,,Yes,1620.0,Yes
1077,Yes,,Yes,1520.0,Yes
1078,Yes,,Yes,1600.0,Yes
1079,Yes,,Yes,1230.0,Yes
1080,Yes,Yes,Yes,1730.0,Yes
1081,Yes,,Yes,1620.0,Yes
1082,Yes,,Yes,1600.0,Yes
1083,Yes,,Yes,1520.0,No
1084,Yes,,Yes,1600.0,Yes
1085,Yes,,Yes,1730.0,Yes
1086,Yes,,Yes,7300.0,No
1087,Yes,,Yes,1600.0,Yes
1088,Yes,,Yes,1520.0,Yes
1089,Yes,,Yes,1400.0,Yes
1090,Yes,,Yes,1250.0,No
1091,Yes,,Yes,1300.0,Yes
1092,Yes,,Yes,1450.0,Yes
1093,Yes,,Yes,1520.0,Yes
1094,Yes,,Yes,1730.0,Yes
1095,Yes,,Yes,1520.0,Yes
1096,Yes,,Yes,1730.0,Yes
1097,Yes,,Yes,1230.0,Yes
1098,Yes,,Yes,1400.0,
1099,Yes,,Yes,1450.0,Yes
1100,Yes,,Yes,1450.0,Yes
1101,Yes,,Yes,1230.0,Yes
1102,Yes,,Yes,1520.0,Yes
1103,Yes,,Yes,1250.0,Yes
1104,Yes,,Yes,4000.0,No
1105,Yes,,Yes,4000.0,No
1106,Yes,,Yes,4000.0,No
1107,Yes,,Yes,1230.0,Yes
1108,Yes,,Yes,1300.0,No
1109,Yes,,Yes,1400.0,Yes
1110,Yes,,Yes,1500.0,Yes
1111,Yes,,Yes,1200.0,Yes
1112,Yes,,Yes,1230.0,Yes
1113,Yes,,Yes,1230.0,Yes
1114,Yes,,Yes,1230.0,
1115,Yes,,Yes,1300.0,Yes
1116,Yes,,Yes,1300.0,Yes
1117,Yes,,Yes,1500.0,No
1118,Yes,,Yes,1230.0,Yes
1119,Yes,,Yes,1300.0,Yes
1120,Yes,,Yes,1730.0,Yes
1121,Yes,,Yes,1200.0,Yes
1122,Yes,,Yes,1300.0,No
1123,Yes,,Yes,1300.0,Yes
1124,Yes,,Yes,1400.0,Yes
1125,Yes,,Yes,1200.0,Yes
1126,Yes,,Yes,1300.0,Yes
1127,Yes,,Yes,1400.0,Yes
1128,No,,Yes,1100.0,Yes
1129,Yes,,Yes,1230.0,Yes
1130,Yes,,Yes,1500.0,Yes
1131,Yes,,Yes,1300.0,Yes
1132,Yes,,Yes,1300.0,No
1133,Yes,,No,1100.0,Yes
1134,Yes,,Yes,1100.0,Yes
1135,Yes,,Yes,1000.0,Yes
1136,Yes,,Yes,1500.0,No
1137,Yes,,Yes,1350.0,No
1138,Yes,,No,1500.0,No
1139,Yes,,No,1500.0,No
1140,Yes,,No,1340.0,No
1141,Yes,,No,1500.0,Yes
1142,Yes,,Yes,1500.0,No
1143,Yes,,No,1500.0,Yes
1144,Yes,,Yes,1500.0,Yes
1145,Yes,,No,1100.0,Yes
1146,Yes,,No,1150.0,No
1147,Yes,,No,1100.0,No
1148,Yes,,Yes,1500.0,No
1149,Yes,,Yes,1350.0,Yes
1150,Yes,,Yes,1350.0,Yes
1151,Yes,,No,1100.0,No
1152,No,,No,1100.0,No
1153,Yes,,No,1050.0,No
1154,Yes,,No,1340.0,Yes
1155,Yes,,No,900.0,Yes
1156,Yes,,Yes,2100.0,No
1157,Yes,,No,1100.0,No
1158,Yes,,No,1350.0,Yes
1159,No,,No,1120.0,No
1160,Yes,,No,1500.0,No
1161,Yes,,No,1050.0,No
1162,Yes,,No,1350.0,No
1163,No,,No,1050.0,No
1164,No,,No,1100.0,No
1165,No,,No,1300.0,No
1166,No,,No,2700.0,No
1167,Yes,,No,2200.0,No
1168,No,,No,1050.0,No
1169,No,,No,1200.0,Yes
1170,No,,No,1250.0,No
1171,No,,No,1130.0,No
1172,Yes,,No,,No
1173,Yes,,No,1500.0,No
1174,Yes,,No,1250.0,Yes
1175,No,,No,960.0,No
1176,No,,No,1150.0,No
1177,No,,No,1350.0,No
1178,No,,No,1190.0,No
1179,Yes,Yes,Yes,3200.0,No
1180,Yes,,Yes,4000.0,Yes
1181,Yes,,Yes,4800.0,No
1182,Yes,,Yes,6660.0,No
1183,Yes,,Yes,3340.0,No
1184,Yes,,Yes,2950.0,No
1185,Yes,,Yes,4800.0,
1186,Yes,,Yes,3100.0,
1187,Yes,,Yes,4000.0,Yes
1188,Yes,,Yes,3020.0,Yes
1189,Yes,,Yes,3000.0,Yes
1190,Yes,,Yes,3000.0,Yes
1191,Yes,Yes,Yes,4000.0,No
1192,Yes,,No,420.0,No
1193,Yes,Yes,No,420.0,No
1194,Yes,Yes,Yes,3750.0,No
1195,Yes,Yes,Yes,3200.0,No
1196,Yes,Yes,Yes,3000.0,Yes
1197,Yes,Yes,Yes,3000.0,Yes
1198,Yes,Yes,Yes,2900.0,Yes
1199,Yes,,Yes,3020.0,Yes
1200,Yes,Yes,Yes,4000.0,No
1201,Yes,Yes,Yes,4000.0,No
1202,Yes,Yes,Yes,4000.0,No
1203,Yes,Yes,Yes,3500.0,No
1204,No,,No,80.0,No
1205,Yes,,Yes,4100.0,Yes
1206,Yes,,Yes,4800.0,No
1207,Yes,,Yes,3340.0,Yes
1208,Yes,,Yes,3100.0,Yes
1209,Yes,,Yes,5100.0,No
1210,Yes,Yes,Yes,3340.0,Yes
1211,Yes,Yes,Yes,3020.0,Yes
1212,Yes,,Yes,6660.0,
1213,Yes,,Yes,4360.0,No
1214,Yes,,Yes,4100.0,
1215,Yes,,Yes,3340.0,Yes
1216,Yes,,Yes,4500.0,Yes
1217,Yes,Yes,Yes,3000.0,No
1218,Yes,,Yes,2200.0,Yes
1219,Yes,,Yes,4100.0,
1220,Yes,,Yes,4360.0,No
1221,Yes,,Yes,3000.0,Yes
1222,Yes,,Yes,2100.0,Yes
1223,Yes,,Yes,2200.0,Yes
1224,Yes,Yes,Yes,3000.0,Yes
1225,Yes,Yes,Yes,3400.0,No
1226,Yes,Yes,Yes,3000.0,No
1227,Yes,,Yes,4000.0,Yes
1228,Yes,,Yes,6660.0,
1229,No,,No,300.0,No
1230,Yes,,Yes,2200.0,Yes
1231,Yes,Yes,Yes,4000.0,Yes
1232,Yes,,Yes,3000.0,Yes
1233,Yes,,Yes,3000.0,Yes
1234,Yes,,Yes,4000.0,Yes
1235,Yes,Yes,Yes,3450.0,No
1236,Yes,Yes,Yes,2700.0,Yes
1237,Yes,Yes,Yes,3100.0,Yes
1238,Yes,,Yes,2200.0,Yes
1239,Yes,Yes,Yes,3000.0,Yes
1240,Yes,,Yes,3100.0,Yes
1241,Yes,,Yes,4800.0,Yes
1242,Yes,,Yes,1730.0,Yes
1243,Yes,,Yes,2000.0,Yes
1244,Yes,,Yes,2000.0,Yes
1245,Yes,,Yes,2550.0,Yes
1246,Yes,,Yes,2200.0,Yes
1247,Yes,Yes,Yes,2200.0,Yes
1248,Yes,,Yes,4360.0,Yes
1249,Yes,Yes,Yes,2680.0,Yes
1250,Yes,,Yes,2200.0,Yes
1251,Yes,,Yes,5000.0,No
1252,Yes,,Yes,2000.0,Yes
1253,Yes,,Yes,1730.0,Yes
1254,Yes,,Yes,1950.0,
1255,Yes,,Yes,,Yes
1256,Yes,,Yes,1750.0,Yes
1257,No,,Yes,1350.0,Yes
1258,Yes,Yes,Yes,3500.0,Yes
1259,Yes,Yes,Yes,3600.0,Yes
1260,Yes,Yes,Yes,4100.0,Yes
1261,Yes,,Yes,3000.0,Yes
1262,Yes,,Yes,2000.0,Yes
1263,Yes,,Yes,4800.0,Yes
1264,Yes,,Yes,4800.0,No
1265,Yes,,Yes,4100.0,No
1266,Yes,Yes,Yes,2000.0,Yes
1267,Yes,Yes,Yes,2000.0,Yes
1268,Yes,,Yes,2000.0,Yes
1269,Yes,Yes,Yes,3000.0,Yes
1270,Yes,Yes,Yes,4100.0,Yes
1271,Yes,,Yes,2000.0,Yes
1272,Yes,Yes,Yes,3100.0,Yes
1273,Yes,,Yes,3000.0,Yes
1274,Yes,,Yes,2300.0,Yes
1275,Yes,,Yes,2000.0,Yes
1276,Yes,Yes,Yes,2000.0,Yes
1277,Yes,,Yes,1500.0,Yes
1278,Yes,,Yes,,Yes
1279,Yes,Yes,Yes,2500.0,Yes
1280,Yes,Yes,Yes,2000.0,Yes
1281,Yes,,Yes,2300.0,
1282,Yes,,Yes,2100.0,Yes
1283,Yes,,Yes,6600.0,No
1284,Yes,Yes,Yes,2000.0,
1285,Yes,,Yes,2000.0,Yes
1286,Yes,,Yes,4800.0,
1287,Yes,,Yes,5000.0,No
1288,Yes,,Yes,1750.0,Yes
1289,Yes,,Yes,4100.0,No
1290,Yes,,Yes,2000.0,Yes
1291,Yes,,Yes,4050.0,Yes
1292,Yes,,Yes,1350.0,Yes
1293,No,,Yes,1350.0,Yes
1294,Yes,,Yes,3000.0,Yes
1295,Yes,,Yes,2300.0,Yes
1296,Yes,,Yes,2400.0,Yes
1297,Yes,,Yes,1730.0,Yes
1298,Yes,,Yes,1700.0,No
1299,No,,Yes,1050.0,Yes
1300,No,,Yes,600.0,Yes
1301,Yes,,Yes,2150.0,Yes
1302,Yes,,Yes,2150.0,Yes
1303,Yes,,Yes,2150.0,Yes
1304,Yes,,Yes,,Yes
1305,Yes,,Yes,1700.0,Yes
1306,Yes,,Yes,4100.0,No
1307,Yes,,Yes,4100.0,No
1308,Yes,,Yes,2000.0,Yes
1309,Yes,,Yes,1730.0,Yes
1310,Yes,,Yes,1650.0,No
1311,Yes,,Yes,1700.0,No
1312,Yes,Yes,Yes,2420.0,Yes
1313,Yes,,Yes,2150.0,No
1314,Yes,,Yes,1950.0,Yes
1315,Yes,,Yes,1730.0,Yes
1316,Yes,,Yes,1500.0,Yes
1317,Yes,,Yes,1950.0,No
1318,Yes,,Yes,4050.0,Yes
1319,Yes,,Yes,3000.0,Yes
1320,Yes,Yes,Yes,1700.0,Yes
1321,Yes,,Yes,1930.0,Yes
1322,Yes,,Yes,1400.0,Yes
1323,Yes,,Yes,6600.0,No
1324,Yes,,Yes,2230.0,Yes
1325,Yes,,Yes,1400.0,No
1326,Yes,,Yes,1400.0,No
1327,Yes,,Yes,2000.0,Yes
1328,Yes,,Yes,1400.0,Yes
1329,Yes,Yes,Yes,1930.0,Yes
1330,Yes,,Yes,1500.0,No
1331,Yes,,Yes,4100.0,No
1332,Yes,Yes,Yes,1050.0,Yes
1333,Yes,Yes,Yes,1250.0,Yes
1334,Yes,,Yes,1550.0,Yes
1335,Yes,,Yes,1350.0,Yes
1336,Yes,,Yes,2600.0,Yes
1337,Yes,,Yes,1670.0,Yes
1338,Yes,,Yes,1500.0,No
1339,No,,Yes,,Yes
1340,No,,Yes,1000.0,Yes
1341,No,,Yes,1000.0,Yes
1342,Yes,,Yes,1880.0,No
1343,No,,Yes,1000.0,Yes
1344,No,,Yes,1050.0,Yes
1345,Yes,,Yes,1400.0,Yes
1346,Yes,,Yes,6600.0,No
1347,Yes,,Yes,2600.0,Yes
1348,Yes,,Yes,1800.0,Yes
1349,Yes,,Yes,2600.0,Yes
1350,Yes,,Yes,1800.0,Yes
1351,Yes,,Yes,1800.0,Yes
1352,Yes,,Yes,1900.0,Yes
1353,No,,Yes,1300.0,Yes
1354,No,,Yes,800.0,Yes
1355,Yes,,Yes,4100.0,No
1356,Yes,,Yes,4100.0,No
1357,Yes,,,1000.0,Yes
1358,Yes,,Yes,1500.0,Yes
1359,Yes,,Yes,1200.0,Yes
1360,Yes,,Yes,1200.0,Yes
1361,Yes,,Yes,1500.0,No
1362,Yes,,Yes,900.0,No
1363,Yes,,Yes,1930.0,Yes
1364,Yes,,Yes,1400.0,Yes
1365,Yes,,Yes,1400.0,
1366,Yes,,Yes,1500.0,Yes
1367,No,,Yes,1050.0,Yes
1368,No,,Yes,1000.0,Yes
1369,No,,Yes,800.0,Yes
1370,No,,Yes,800.0,Yes
1371,Yes,Yes,Yes,1400.0,
1372,Yes,,Yes,1200.0,Yes
1373,No,,Yes,1000.0,Yes
1374,No,,Yes,1100.0,Yes
1375,No,,Yes,830.0,Yes
1376,Yes,,Yes,3250.0,No
1377,Yes,,Yes,3250.0,No
1378,Yes,,Yes,1400.0,Yes
1379,Yes,,Yes,1500.0,No
1380,Yes,,Yes,1200.0,Yes
1381,Yes,,Yes,1200.0,Yes
1382,Yes,,Yes,1150.0,Yes
1383,No,,No,1000.0,Yes
1384,No,,Yes,1100.0,Yes
1385,No,,No,,Yes
1386,Yes,,Yes,930.0,Yes
1387,Yes,,Yes,2200.0,No
1388,No,,No,1050.0,Yes
1389,Yes,,Yes,1150.0,Yes
1390,Yes,,Yes,1150.0,Yes
1391,Yes,,No,1500.0,No
1392,Yes,,No,1500.0,No
1393,No,,No,,Yes
1394,No,,Yes,800.0,Yes
1395,No,,No,1000.0,Yes
1396,Yes,,No,1200.0,No
1397,Yes,,No,1620.0,No
1398,Yes,,No,1530.0,No
1399,No,,No,1050.0,No
1400,No,,No,1020.0,No
1401,No,,No,1000.0,No
1402,No,,No,1400.0,Yes
1403,No,,No,1530.0,Yes
1404,No,,No,1400.0,Yes
1405,No,,No,1530.0,Yes
1406,No,,No,1400.0,Yes
1407,Yes,,No,1660.0,No
1408,No,,No,1100.0,No
1409,No,,No,1200.0,No
1410,No,,No,1100.0,No
1411,No,,No,1440.0,No
1412,No,,No,1300.0,No
1413,No,,No,1190.0,No
1414,No,,No,750.0,No
1415,No,,No,1200.0,No
1416,No,,Yes,1620.0,No
1417,No,,No,1250.0,No
1418,No,,No,1050.0,No
1419,No,,No,1050.0,No
1420,No,,No,1150.0,No
1421,No,,No,1200.0,No
1422,No,,No,1200.0,No
1423,No,,Yes,1000.0,Yes
1424,Yes,,Yes,1300.0,Yes
1425,Yes,,No,1150.0,No
1426,Yes,,No,600.0,No
1427,Yes,,Yes,2500.0,No
1428,Yes,,Yes,4450.0,No
1429,Yes,Yes,Yes,2100.0,No
1430,Yes,,Yes,1900.0,Yes
1431,Yes,,Yes,1700.0,Yes
1432,Yes,,Yes,2000.0,Yes
1433,Yes,,Yes,1400.0,Yes
1434,Yes,,Yes,1500.0,Yes
1435,Yes,,Yes,2050.0,
1436,Yes,,Yes,2000.0,
1437,Yes,,Yes,2000.0,
1438,Yes,Yes,Yes,2300.0,
1439,Yes,,Yes,1350.0,Yes
1440,Yes,,Yes,1400.0,Yes
1441,Yes,,Yes,1800.0,Yes
1442,Yes,,Yes,2000.0,Yes
1443,Yes,,Yes,2600.0,Yes
1444,Yes,,Yes,1400.0,Yes
1445,Yes,,Yes,1200.0,Yes
1446,Yes,,Yes,3000.0,Yes
1447,Yes,,Yes,3000.0,Yes
1448,No,,Yes,2000.0,Yes
1449,No,,Yes,1400.0,Yes
1450,No,,Yes,1250.0,Yes
1451,No,,Yes,1750.0,Yes
1452,Yes,,Yes,1800.0,Yes
1453,Yes,,Yes,2150.0,Yes
1454,No,,Yes,1450.0,Yes
1455,No,,Yes,1400.0,Yes
1456,No,,Yes,1400.0,Yes
1457,No,,Yes,1750.0,Yes
1458,Yes,,Yes,2000.0,Yes
1459,Yes,,Yes,1600.0,Yes
1460,No,,Yes,4000.0,No
