,SIM,display_size,screen_to_body_ratio,OS
3101,Dual,5.5,71.0,Android 5.1
3102,Dual,6.0,75.3,Android 5.1
3103,Dual,5.5,73.9,Android 5.1
3104,Dual,5.0,67.6,Android 5.1
3105,Dual,5.0,67.4,Android 5.1
3106,Dual,5.0,67.4,Android 5.1
3107,Dual,5.5,72.9,Android 5.1
3108,Dual,5.0,67.9,Android 5.1
3109,Single,5.2,67.2,Android 4.4.4
3110,Dual,5.0,67.5,Android 5.1
3111,Dual,4.5,63.1,Android 4.4
3112,Dual,6.0,76.6,Android 5.1.1
3113,Dual,5.0,66.7,Android 4.4.2
3114,Dual,4.5,64.6,Android 4.4.2
3115,Dual,4.5,64.6,Android 4.4.2
3116,Dual,4.0,58.3,Android 4.4
3117,Dual,4.7,64.3,Android 4.4
3118,Dual,4.5,64.6,Android 4.4
3119,Dual,5.0,69.9,Android 4.4
3120,Single,5.2,67.5,Android 4.4.4
3121,Dual,5.5,66.5,Android 4.4.4
3122,Single,5.0,68.6,Android 4.3
3123,Dual,4.5,64.2,Android 4.2.1
3124,Dual,4.7,65.4,Android 4.2.2
3125,Dual,4.7,,Android 4.2.1
3126,Dual,4.0,58.3,Android 4.2.1
3127,Single,4.5,64.2,Android 4.3
3128,Single,5.0,64.3,Android 4.3
3129,Single,5.0,68.8,Android 4.3
3130,Single,5.5,72.9,Android 4.3
3131,Single,5.5,72.9,Android 4.3
3132,Dual,4.5,66.4,Android 4.2.1
3133,Dual,5.0,68.6,Android 4.2.1
3134,Single,5.9,68.1,Android 4.2
3135,Dual,4.7,65.6,Android 4.2.1
3136,Single,5.0,70.6,Android 4.1
3137,Single,4.5,69.0,Android 4.0.4
3138,Yes,3.0,42.8,Android 4.0.4
3139,Dual,4.0,58.3,Android 4.2
3140,Dual,3.5,51.5,Android 4.0.4
3141,Yes,4.5,63.4,Android 4.0.4
3142,Dual,4.0,58.8,Android 4.0.4
3143,Single,4.3,60.9,Android 4.2.1
3144,Single,4.3,63.8,Android 4.0.4
3145,Yes,4.0,57.9,Android 2.3
3146,Single,4.0,58.1,Android 2.3.7
3147,Single,3.5,50.9,Android 2.3
3148,Single,3.1,47.7,Other
3149,Single,3.1,47.7,Other
3150,Single,2.63,35.7,Other
3151,Single,3.1,47.9,Other
3152,Single,2.63,35.7,Other
3153,Single,3.1,47.9,Other
3154,Single,2.5,29.5,Windows
3155,Single,2.25,28.5,Other
3156,Single,2.4,26.4,Windows
3157,Single,2.5,31.3,Windows
3158,Single,2.5,30.9,Other
3159,Dual,5.5,70.1,Android 6.0
3160,Dual,5.0,65.8,Android 6.0
3161,Dual,5.0,66.7,Android 6.0
3162,Dual,5.5,72.7,Android 6.0
3163,Dual,5.5,70.6,Android 6.0
3164,Dual,5.2,69.0,Android 6.0
3165,Dual,5.5,71.3,Android 6.0
3166,Dual,5.0,67.7,Android 6.0
3167,Dual,5.3,,Android 6.0
3168,Dual,5.5,76.4,Android 6.0
3169,Dual,5.0,66.9,Android 5.1
3170,Dual,5.0,67.9,Android 6.0
3171,Dual,5.0,66.5,Android 6.0
3172,Dual,5.5,76.7,Android 6.0.1
3173,Dual,5.0,66.6,Android 5.1
3174,Dual,5.5,71.7,Android 5.1
3175,Dual,5.0,67.1,Android 5.1
3176,Dual,5.0,68.3,Android 5.1
3177,Dual,5.0,68.0,Android 5.1
3178,Dual,4.5,63.9,Android 5.1
3179,Dual,5.5,71.3,Android 5.1
3180,Dual,5.5,72.7,Android 5.0
3181,Dual,5.5,,Android 5.1
3182,Dual,5.0,,Android 5.1
3183,Dual,4.5,65.4,Android 5.1
3184,Dual,5.5,71.7,Android 4.4.2
3185,Dual,5.0,68.4,Android 4.4.4
3186,Dual,4.7,64.7,Android 4.4.2
3187,Single,5.0,68.3,Android 5.0
3188,Dual,5.0,68.8,Android 4.4.2
3189,Dual,6.0,72.8,Android 4.4.2
3190,Dual,4.0,57.8,Android 4.4.2
3191,Dual,5.5,72.3,Android 4.4.2
3192,Dual,5.0,63.7,Android 4.4.2
3193,Single,4.7,66.1,Android 4.4.2
3194,Dual,5.0,66.5,Android 4.3
3195,Dual,5.0,72.4,Android 4.4.2
3196,Dual,5.5,77.2,Android 4.2.2
3197,Dual,4.0,58.0,Android 4.2.2
3198,Dual,4.5,64.1,Android 4.1
3199,Dual,5.0,65.3,Android 4.1.2
3200,Dual,4.0,63.7,Android 4.1
3201,Dual,5.0,63.8,Android 4.2
3202,Dual,5.0,67.3,Android 4.4.2
3203,Single,5.0,72.4,Android 4.0
3204,Single,4.3,66.8,Android 2.3.5
3205,No,10.1,55.5,Android 3.2
3206,No,7.0,,Android 3.2
3207,Yes,3.0,45.3,
3208,Single,4.8,69.0,Android 4.0.4
3209,Single,5.3,72.0,Android 4.0.4
3210,Single,4.3,58.5,Android 4.0.4
3211,Single,4.8,69.6,Android 4.0
3212,Single,4.5,62.5,Android 2.3
3213,Single,4.0,57.6,Android 2.3.5
3214,Single,8.0,60.1,Android 4.0
3215,Single,4.0,55.4,Android 2.3
3216,Single,2.8,39.4,
3217,Single,2.2,29.7,
3218,Single,4.0,58.2,Android 2.2
3219,Single,3.2,44.2,
3220,Single,2.6,34.9,
3221,Single,2.2,25.2,
3222,Single,2.4,33.2,Windows
3223,Single,2.2,22.2,
3224,Single,,,
3225,Single,2.2,29.4,Windows
3226,Dual,4.0,56.0,Android 4.2
3227,Dual,5.0,65.9,Android 4.2
3228,Dual,5.0,,Android 4.2
3229,Dual,4.5,59.6,Android 4.1
3230,Dual,4.0,56.9,Android 2.3
3231,Dual,2.6,39.5,
3232,Dual,3.2,46.3,
3233,Dual,3.2,46.9,
3234,Single,3.5,48.6,Android
3235,Single,2.2,28.9,
3236,Single,2.8,42.5,
3237,Single,3.0,46.0,
3238,Single,2.8,51.2,
3239,Single,,,
3240,Single,2.2,30.3,
3241,Single,2.2,32.1,
3242,Dual,2.4,32.2,
3243,Single,2.4,32.4,
3244,Single,1.47,14.7,
3245,Single,1.8,22.3,
3246,Single,1.8,22.8,
3247,Single,2.8,42.2,
3248,Single,1.47,14.8,
3249,Single,1.25,9.9,
3250,Single,1.8,23.3,
3251,Dual,5.0,65.6,Windows
3252,Dual,4.0,52.7,Windows
3253,Yes,10.1,66.9,Android 4.2
3254,No,9.7,65.2,Android 4.2
3255,Yes,8.0,61.7,Android 4.2
3256,Dual,6.0,70.6,Android 4.2
3257,Single,5.0,67.9,Android 4.2
3258,Yes,5.0,61.4,Android 4.2
3259,Dual,5.0,62.7,Android 4.2
3260,Dual,4.5,62.2,Android 4.2
3261,Dual,4.5,62.2,Android 4.2
3262,Dual,4.0,,Android 4.2
3263,Single,4.3,62.5,Android 4.0
3264,Dual,4.0,56.9,Android 4.1
3265,Dual,5.3,68.2,Android 4.1
3266,Dual,5.0,65.1,Android 4.2
