brand,network_technology,GPRS,EDGE,dimentions,weight_g,SIM,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,GPS,NFC,radio,battery,approx_price_EUR
Sony,GSM / HSPA / LTE,Up to 70.4 kbps,Up to 236.8 kbps,131.6 x 69.3 x 9.8 mm (5.18 x 2.73 x 0.39 in),151,Micro-SIM,5.0 inches (~75.6% screen-to-body ratio),Android 4.1.2 (Jelly Bean)| upgradable to 5.1.1 (Lollipop),Quad-core 1.5 GHz Krait,Qualcomm APQ8064 Snapdragon S4 Pro,Adreno 320,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash| ,2 MP| 1080p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 2370 mAh  battery,260
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,113.5 x 61.8 x 11 mm (4.47 x 2.43 x 0.43 in),115.7,Dual SIM (Mini-SIM),3.5 inches (~52.0% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.1.1 (Jelly Bean),1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,3.15 MP| ,No,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1530 mAh battery,100
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,113.5 x 61.8 x 11 mm (4.47 x 2.43 x 0.43 in),115.7,Mini-SIM,3.5 inches (~52.0% screen-to-body ratio),Android 4.1 (Jelly Bean),1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,3.15 MP| ,No,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1530 mAh battery,80
Sony,GSM / HSPA / LTE,Up to 70.4 kbps,Up to 236.8 kbps,129.4 x 67.3 x 9.4 mm (5.09 x 2.65 x 0.37 in),148,Micro-SIM,4.55 inches (~65.5% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,13 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1850 mAh battery,350
Sony,GSM / HSPA,Yes,Yes,239.8 x 174.4 x 8.8 mm (9.44 x 6.87 x 0.35 in),585,Mini-SIM,9.4 inches (~61.3% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich)| upgradable to 4.1 (Jelly Bean),Quad-core 1.3 GHz Cortex-A9,Nvidia Tegra 3,ULP GeForce,SD  up to 32 GB,16/32/64 GB,1 GB RAM,8 MP| autofocus,1 MP| 720p,Yes with stereo speakers,Yes,Yes with A-GPS,,No,Non-removable Li-Ion 6000 mAh battery,260
Sony,No cellular connectivity,No,No,239.8 x 174.4 x 8.8 mm (9.44 x 6.87 x 0.35 in),570,No,9.4 inches (~61.3% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich)| upgradable to 4.1 (Jelly Bean),Quad-core 1.3 GHz Cortex-A9,Nvidia Tegra 3,ULP GeForce,SD  up to 32 GB,16/32/64 GB,1 GB RAM,8 MP| autofocus| ,1 MP| 720p,Yes with stereo speakers,Yes,Yes,,No,Non-removable Li-Ion 6000 mAh battery,190
Sony,GSM / HSPA / LTE,Yes,Up to 237 kbps,129 x 65 x 10.7 mm (5.08 x 2.56 x 0.42 in),120,Micro-SIM,4.3 inches (~60.8% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.3 (Jelly Bean),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,13 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Removable Li-Ion 1750 mAh battery,230
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,124.3 x 61.2 x 9.2 mm (4.89 x 2.41 x 0.36 in),124,Mini-SIM,4.0 inches (~58.0% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.1.2 (Jelly Bean),1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,5 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1750 mAh battery,140
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,131 x 68.6 x 8.6 mm (5.16 x 2.70 x 0.34 in),127,Micro-SIM,4.55 inches (~63.5% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgrad&#1072;ble to 4.3 (Jelly Bean),Dual-core 1.5 GHz Krait,Qualcomm MSM8260A Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,13 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Removable Li-Ion 1750 mAh battery,330
Sony,GSM / HSPA,Up to 70.4 kbps,Up to 236.8 kbps,129.4 x 67.3 x 9.4 mm (5.09 x 2.65 x 0.37 in),139,Micro-SIM,4.55 inches (~65.5% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgrad&#1072;ble to 4.3 (Jelly Bean),Dual-core 1.5 GHz Krait,Qualcomm MSM8260A Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,13 MP| autofocus| LED flash| ,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1850 mAh battery,230
